NUQFUS,FECHA DE LA MEDICION,NOMBRE DEL LABORATORIO,TIPO DE LABORATORIO,PH,TEMPERATURA,SOLIDOS TOTALES,CONDUCTIVIDAD,TURBIEDAD,COLOR REAL,COLIFORMES TOTALES,E. COLI,DEMANDA BIOQUIMICA DE OXIGENO - DBO,DEMANDA QUIMICA DE OXIGENO - DQO,OXIGENO DISUELTO,SODIO,CLORUROS,FLUORUROS,HIERRO,MANGANESO,FENOLES,AMONIACO,NITRITOS,NITRATOS,DUREZA,CIANUROS,SULFATOS,FOSFORO SOLUBLE
1124,2017-04-19T00:00:00.000,IBAL,1,7.96,19.2,36,91,11.8,78,4020,840,***,***,***,,3.4,,0.21,***,,0.05,0.007,1.5,36,,0,
1122,2017-05-17T00:00:00.000,IBAL,1,7.96,19.4,109,215,102,580,46110,"8,820",***,9,***,,3.4,,0.56,3.20,,0.38,0.022,10.7,124,,37,
1123,2017-05-17T00:00:00.000,IBAL,1,8.03,19.3,72,146,7.21,31,92080,"16,640",***,6,***,,2.8,,0.11,0.90,,0.02,0.016,0.9,68,,2,
1124,2017-05-17T00:00:00.000,IBAL,1,7.94,20.2,52,83,5.48,23,43520,410,***,2,***,,1.1,,0.14,0.40,,0.01,0.009,0.9,28,,0,
1122,2017-06-14T00:00:00.000,IBAL,1,8.21,17.9,114,252,124,590,61310,"22,470",3,5,***,,5,,0.63,2.60,,0.52,0.019,2.9,84,,50,
1123,2017-06-14T00:00:00.000,IBAL,1,8.24,18.4,58,135,50.9,291,241960,"16,160",1,3,***,,2,,0.25,1.30,,0.28,0.012,2.7,48,,0,
1124,2017-06-15T00:00:00.000,IBAL,1,8.06,20.4,37,70,20.2,93,57940,"1,480",3,6,***,,1.7,,0.32,0.60,,0.07,0.009,1.5,42,,0,
1122,2017-07-19T00:00:00.000,IBAL,1,8.12,18.5,163,256,264,770,41060,"6,700",6,14,***,,6.2,,0.73,4.0,,0.7,***,2.1,102,,46,
1123,2017-07-19T00:00:00.000,IBAL,1,8.08,19.4,93,150,4.7,42,54750,"3,640",2,5,***,,3.2,,0.17,0.7,,0,***,1.5,60,,9,
1124,2017-07-19T00:00:00.000,IBAL,1,8.01,21.1,48,80,84.2,56,48840,630,4,9,***,,1.6,,0.29,0.3,,0,***,1,29,,0,
1122,2017-08-16T00:00:00.000,IBAL,1,8.27,19.5,175,355,4.4,25,24810,"10,500",4,2,***,,8.9,,0.3,0.4,,0,***,1.2,119,,62,
1123,2017-08-16T00:00:00.000,IBAL,1,8.17,20.1,73,156,2.2,6,38730,"2,280",4,2,***,,2.6,,0.16,0.6,,0,***,1,75,,13,
1124,2017-08-16T00:00:00.000,IBAL,1,8.34,20.4,40,90,5.21,48,27550,0,6,4,***,,2,,0.22,6.0,,0,***,0.9,35,,0,
1122,2017-09-13T00:00:00.000,IBAL,1,8.19,18.1,134,266,80.7,420,241960,"12,960",3,7,***,,3,,0.82,2.7,,0.44,***,3.1,110,,57,
1123,2017-09-13T00:00:00.000,IBAL,1,8.2,18.4,68.7,119,131,540,241960,"24,230",14,31,***,,5.4,,0.84,3.7,,0.54,***,3.3,52,,13,
1124,2017-09-14T00:00:00.000,IBAL,1,7.93,20.1,40.4,75,8.84,36,77010,410,4,9,***,,0.9,,0.26,0.8,,0.01,***,1.9,34,,0,
1122,2017-10-18T00:00:00.000,IBAL,1,8.22,18.2,146,283,7.12,36,20140,"5,210",4,10,***,,7.7,,0.32,1.7,,0.03,***,0.8,83,,51,
1123,2017-10-18T00:00:00.000,IBAL,1,8.17,19.3,74.0,146,2.4,18,57720,"5,120",0,1,***,,2.2,,0.29,1.4,,0.11,***,0.7,66,,11,
1124,2017-10-18T00:00:00.000,IBAL,1,8.27,20.2,32.0,77.4,5.85,35,36540,210,1,3,***,,1.1,,0.29,0.5,,0.04,***,0.2,43,,0,
1122,2017-11-15T00:00:00.000,IBAL,1,8.34,19,132,271,75.8,412,241960,"61,310",8,18,***,,2.8,,0.58,1.6,,0.4,***,2.8,96,,50,
1123,2017-11-15T00:00:00.000,IBAL,1,8.18,19.3,53.0,118,836,2562,241960,"241,960",1,3,***,,1.1,,1.46,13.2,,2.57,***,1.1,45,,8,
1124,2017-11-15T00:00:00.000,IBAL,1,7.92,19.1,38.0,80,8.67,32,198630,"2,490",1,2,***,,2.7,,0.35,0.6,,0.06,***,1.3,23,,0,
1122,2017-12-13T00:00:00.000,IBAL,1,8.24,19.3,287,265,54.3,214,21430,"6,370",3,5,***,,7.6,,0.55,1.6,,0.24,***,2.6,89,,52,
1123,2017-12-13T00:00:00.000,IBAL,1,8.3,19.7,151,142,5.57,22,72700,"22,470",0,1,***,,2.2,,0.2,0.6,,0.02,***,0.9,65,,8,
1124,2017-12-13T00:00:00.000,IBAL,1,8.23,18.7,78,73,4.38,17,43520,300,0,1,***,,2.4,,0.15,0.5,,0.03,***,1.6,25,,0,
1124,2018-01-10T00:00:00.000,IBAL,1,8.32,19.3,134,335,13,37,38730,"11,980",2,6,8.29,***,11.4,***,0.11,0.80,***,0.09,***,1.1,120,,58,***
1122,2018-01-10T00:00:00.000,IBAL,1,8.4,18.9,60,161,4.1,21,81640,"4,500",1,3,8.32,***,3,***,0.27,0.30,***,0.03,***,1.1,52,,9,***
1123,2018-01-10T00:00:00.000,IBAL,1,8.33,19,29,87,10.7,28,36540,630,4,11,7.80,***,1.9,***,0.19,1.30,***,0.01,***,0.5,44,,0,***
1124,2018-02-14T00:00:00.000,IBAL,1,8.23,20.1,150,321,4.74,28,34480,"9,880",3,11,7.88,,,,0.23,0.60,,0.03,0.008,1.5,,,62,0.21
1122,2018-02-14T00:00:00.000,IBAL,1,8.22,19.9,59,157,4.34,23,61310,"9,600",4,6,7.87,,,,0.21,1.4,,0,0.004,1.6,,,13,0.14
1123,2018-02-14T00:00:00.000,IBAL,1,8.13,19.1,31,90,7.54,35,20460,200,3,5,8.64,,0.9,,0.08,0.3,,0,0.005,1.3,,,0,0.25
1124,2018-03-14T00:00:00.000,IBAL,1,8.4,18.9,140,341,24.3,33,61640,"17,850",3,5,5.02,,,,0.45,1.40,,0.23,0.015,,,,,0.33
1122,2018-03-14T00:00:00.000,IBAL,1,8.57,19.1,58,148,5.02,18,120330,"29,090",5,10,8.12,,,,0.11,1.1,,0,0.007,,,,,0.23
1123,2018-03-14T00:00:00.000,IBAL,1,8.33,20.5,31,81,4.19,19,30760,520,3,19,7.98,,,,0.07,1.1,,0,0.005,,,,,0.23
1124,2018-04-18T00:00:00.000,IBAL,1,8.27,19.1,101,251,39.2,202,241960,"9,880",1,2,8.22,,,,0.64,1.00,,0.02,,2.8,,,,0.20
1122,2018-04-18T00:00:00.000,IBAL,1,8.3,18.9,56,145,6,35,241960,"2,750",0,1,7.96,,,,0.15,0.9,,0,,1.2,,,,0.18
1123,2018-04-18T00:00:00.000,IBAL,1,7.91,19.7,30,81,6.14,38,34480,310,1,2,8.82,,,,0.05,0.8,,0,,1.5,,,,0.20
1124,2018-05-16T00:00:00.000,IBAL,1,8.08,17.8,74,196,134,460,15530,"5,650",2,7,8.28,,,,0.41,2.90,,0.42,,,,,,0.70
1122,2018-05-16T00:00:00.000,IBAL,1,8.1,18.6,50,133,22.6,111,38730,"3,680",13,32,8.19,,,,0.2,1.0,,0.11,,,,,,0.28
1123,2018-05-16T00:00:00.000,IBAL,1,8.19,17.5,29,78,11.3,42,16070,100,6,11,8.11,,,,0.1,0.5,,0.1,,,,,,0.29
1124,2018-06-13T00:00:00.000,IBAL,1,8.2,17,73,188,1099,4330,155310,850,9,20,6.72,,,,1.69,26.60,,3.78,,,,,,2.80
1122,2018-06-13T00:00:00.000,IBAL,1,8.23,17.2,50,129,24.6,131,51720,"12,740",2,6,7.19,,,,0.34,1.4,,0.16,,,,,,0.28
1123,2018-06-13T00:00:00.000,IBAL,1,8.11,18.9,29,73,9.05,33,32550,200,1,3,7.89,,,,0.1,0.4,,0.23,,,,,,0.40
1124,2018-07-18T00:00:00.000,IBAL,1,8.05,17.8,111,282,282,65,21430,"5,200",4,2,8.13,,,,0.36,0.8,,0.07,0.003,0.6,126,,56,
1122,2018-07-18T00:00:00.000,IBAL,1,8.04,18.2,54,139,139,9,34480,"3,090",2,1,8.01,,,,0.28,0.3,,0.03,0.003,0.3,56,,6,
1123,2018-07-18T00:00:00.000,IBAL,1,8.16,18.9,30,78,78,24,18750,200,2,1,5.89,,,,0.25,0.3,,0.04,0.004,0.8,30,,0,
1124,2018-08-15T00:00:00.000,IBAL,1,8.16,18.9,91,223,73,254,34480,"13,540",***,4,8.13,,,,0.7,1.8,,0.25,0.019,2,83,,35,
1122,2018-08-15T00:00:00.000,IBAL,1,8.18,19,56,139,18.5,33,27550,"5,760",***,2,8.01,,,,0.26,0.6,,0.06,0.009,1,48,,4,
1123,2018-08-15T00:00:00.000,IBAL,1,8.01,18,38,125,13.9,21,32550,200,***,2,5.89,,,,0.17,0.3,,0.08,0.005,0.8,11,,0,
1124,2018-09-12T00:00:00.000,IBAL,1,8.17,18.2,119,301,6.13,35,15650,"5,650",2,4,8.53,,,,,0.5,,0.06,0.009,1.9,128,,56,
1122,2018-09-12T00:00:00.000,IBAL,1,8.26,18.1,56,145,2.99,26,29090,"4,810",1,3,8.50,,,,,0.2,,0.05,0.005,0.5,85,,4,
1123,2018-09-12T00:00:00.000,IBAL,1,8.12,19.1,31,82,6.15,28,17260,0,1,3,8.51,,,,,0.2,,0.01,0.005,0.5,57,,0,
1122,2018-10-17T00:00:00.000,IBAL,1,8.12,18.4,126,313,63.1,270,68670,"5,040",2,4,8.37,,,,,1.9,,0.19,0.013,1,120,,52,
1123,2018-10-17T00:00:00.000,IBAL,1,8.08,18.8,60,155,2.75,14,173290,"8,360",1,3,8.25,,,,,0.4,,0.01,0.008,0.7,55,,5,
1124,2018-10-17T00:00:00.000,IBAL,1,8.11,18.9,33,88,7.53,27,30760,0,1,2,8.57,,,,,0.9,,0.01,0.005,1.5,26,,0,
1122,2018-11-14T00:00:00.000,IBAL,1,8.12,18.7,126,383,15.8,55,32550,"13,760",1,2,8.15,,,,,1,,0.07,0.007,0.5,120,,54,
1123,2018-11-14T00:00:00.000,IBAL,1,8.28,18.3,60,150,4.28,20,30760,"3,840",0,1,8.12,,,,,0.4,,0.05,0.004,0.9,54,,6,
1124,2018-11-14T00:00:00.000,IBAL,1,8.43,20.9,33,86.7,3.88,16,13960,200,0,1,7.06,,,,,0.7,,0.03,0.009,1.2,18,,0,
1122,2018-12-12T00:00:00.000,IBAL,1,8.39,17.5,131,319,13.5,33,36540,"22,470",1,2,8.67,,,,,0.6,,0.11,0.009,1.3,128,,57,0.29
1123,2018-12-12T00:00:00.000,IBAL,1,8.5,15.1,60,151,3.33,12,51720,"3,990",0,0.7,8.21,,,,,0.2,,0.06,0.005,0.7,58,,9,0.38
1124,2018-12-12T00:00:00.000,IBAL,1,8.14,18.8,33,90,14.5,93,10170,200,10,26,9.24,,,,,0.8,,0.11,0.004,0.8,45,,0,0.8
1124,2019-01-16T00:00:00.000,IBAL,1,8.33,18.1,146,366,11.5,65,46110,"24,810",1,2.0,8.01,,,,,0.60,,0.1,0.005,0.8,135,,58,0.41
1122,2019-01-16T00:00:00.000,IBAL,1,8.25,18.6,60,155,1.59,5,26130,"4,350",0,1.0,7.92,,,,,0.60,,0.08,0.003,0.8,49,,7,0.47
1123,2019-01-16T00:00:00.000,IBAL,1,8.19,19.1,35,89,7.74,26,26130,100,0,1.0,7.91,,,,,0.30,,0.01,0.001,1,38,,0,0.39
1124,2019-02-21T00:00:00.000,IBAL,1,8.24,19.2,145,329,24.2,95,36540,"20,140",1,2.0,7.90,,,,,0.30,,0.02,0.009,2,142,,62,0.44
1122,2019-02-21T00:00:00.000,IBAL,1,8.22,19.5,61,138,3.2,13,51720,"6,820",0,1.0,7.84,,,,,0.40,,0.04,0.006,1,75,,11,0.37
1123,2019-02-21T00:00:00.000,IBAL,1,8.18,19.2,35,79.3,4.86,26,27230,520,0,1.0,7.52,,,,,0.40,,0.12,0.011,1.6,14,,0,2.74
